,상호,계,업종,주소,거리
187,후쿠오카모츠나베 판교점,15,일식/생선회집,"경기 성남시 분당구 대왕판교로 660, 204호 (삼평동,유스페이스1)",
188,차이나오라,15,중식전문점,"경기 성남시 분당구 대왕판교로 660, 2층 (삼평동,유스페이스 1동 234호,235호)",
189,붓처스컷 아브뉴프랑판교점,15,서양식전문점,"경기 성남시 분당구 동판교로177번길 25, 2층 232,233호 (삼평동,판교호반써밋플레이스)",
190,부스&더 치즈케익,15,일반음식점,"경기 성남시 중원구 성남대로 1150, 1층 (성남동,대원빌딩)",
191,맥도날드동판교점,15,패스트푸드점,"경기 성남시 분당구 삼평동 741번지 푸르지오월드마크1-17,18,19,30,31호2-9,10호",
192,달빛어시장,15,일식전문점,"경기 성남시 분당구 대왕판교로 660, 2층 210호 (삼평동,유스페이스1)",
193,네코부루본점엠비즈(주),15,일반음식점,"경기 성남시 분당구 판교로319번길13 (삼평동,,디데라스 1층 112호) ",
194,(주)감성타코 판교점,15,일반음식점,"경기 성남시 분당구 동판교로177번길 25, 2층 231,232호 (삼평동,판교호반써밋플레이스)",
195,한우랑돼지랑,14,일반음식점,"경기 성남시 수정구 사송로 48, 지층1층 (사송동)",
196,푸주옥설렁탕,14,일반음식점,"경기 성남시 수정구 대왕판교로 897, 1층 (시흥동)",
197,청계산담백미,14,일반음식점,"경기 성남시 수정구 달래내로 22, 1층 2층 (금토동)",
198,아이스걸크림보이판교점,14,아이스크림전문점,"경기 성남시 분당구 대왕판교로 660, 2층 228호 (삼평동,유스페이스1)",
199,스시가좋아서,14,일식전문점,"경기 성남시 분당구 판교로 372, 2층 202호 (삼평동,스타식스코아1)",
200,빨간뻘낙지,14,한식,"경기 성남시 분당구 안골로 28-2, 1층 (서현동)",
201,빅사이즈(BIGSIZE),14,일반음식점,"경기 성남시 분당구 판교로319번길 13, 108호 (삼평동,디테라스1층)",
202,밥볶다(동판교점),14,일반음식점,"경기 성남시 분당구 판교역로240, 지하1층 B115, B115-1호 (삼평동,삼 ",
203,더라운지,14,일반음식점,"경기 성남시 분당구 서판교로 162, 랜드리스타워1층101,102,103,104,105,106호 (판교동)",
204,꼬꼬와톡,14,일반음식점,"경기 성남시 분당구 판교역로 240, A동 1층 123호 (삼평동,삼환하이펙스)",
205,군산오징어판교테크노밸리점,14,일반음식점,"경기 성남시 분당구 대왕판교로 660, A동 310호 (삼평동,유스페이스)",
206,클준빛날영,13,일식전문점,"경기 성남시 분당구 판교역로 240, 지층 B126호 (삼평동,삼환하이펙스A동)",
207,짜야,13,중식전문점,경기 성남시 분당구 대왕판교로 393 (백현동),
208,진차이객잔,13,중식전문점,"경기 성남시 분당구 대왕판교로 660, 유스페이스몰 지하1층B128-4호 (삼평동)",
209,주식회사놀멍쉬멍,13,일반음식점,"경기 성남시 분당구 대왕판교로660, B동 501호 (삼평동,유스페이스1) ",
210,죠샌드위치판교테크노밸리점,13,서양식전문점,"경기 성남시 분당구 판교역로 231, B117,호 (삼평동,에이치스퀘어 에스동)",
211,인생극장쪽갈비,13,일반음식점,"경기 성남시 분당구 대왕판교로 660, 2층 211호 (삼평동,유스페이스1)",
212,야미가,13,일반음식점,경기 성남시 분당구 매화로56번길 12 (야탑동),
213,스시가오,13,일반음식점 기타,"경기 성남시 분당구 대왕판교로 660, 유스페이스1 지하층 B121호 (삼평동)",
214,본설판교테크노밸리점,13,일반음식점,"경기 성남시 분당구 판교역로 231, 1층 131호 (삼평동,에이치스퀘어 에스동)",
215,디바인,13,일반음식점 기타,"경기 성남시 분당구 돌마로 87, 110,111호 (금곡동,골드프라자)",
216,김인성의토평한우소곱창,13,한식,"경기 성남시 분당구 대왕판교로 660, 1층 121호 (삼평동,유스페이스1)",
217,고씨네대파차돌등심,13,일반음식점,"경기 성남시 분당구 대왕판교로 660, 2층 217,218,219호 (삼평동,유스페이스1)",
218,(주)신화푸드 돈블랑 판교점,13,한식,"경기 성남시 분당구 대왕판교로606번길 10, 1층 118, 119호 (백현동)",
